排名	代码	名称	总市值(亿元)	PE(TTM)	PB	股息率(%)
1	601186	中国铁建	837.9	4.76	0.3	4.73
2	601390	中国中铁	1042.6	4.91	0.32	4.66
3	601668	中国建筑	1917.3	5.05	0.39	3.92
4	601336	新华保险	1933.5	5.24	1.56	4.56
5	601601	中国太保	2846.7	5.28	0.89	4.27
6	601318	中国平安	8968.7	6.75	0.88	4.64
7	601800	中国交建	958.2	7.16	0.33	4.33
8	601319	中国人保	3126.6	7.34	0.98	4.52
9	601628	中国人寿	10664.3	7.37	1.78	3.86
10	000651	格力电器	2168.3	7.43	1.43	3.14
11	600011	华能国际	1061.2	7.62	1.51	4.96
12	601919	中远海控	2155.9	8.61	0.91	4.06
13	600018	上港集团	1187.3	8.69	0.82	3.93
14	002736	国信证券	1023.2	9.43	1.02	3.06
15	601600	中国铝业	1391.3	9.49	1.73	3.69
16	601898	中煤能源	1706.4	9.61	1.04	3.22
17	600690	海尔智家	1899	10.15	1.52	4.86
18	601688	华泰证券	1787.3	10.19	1	3.46
19	002379	宏桥控股	2071.9	10.51	3.96	3.27
20	000776	广发证券	1662	10.62	1.21	3.76
21	600938	中国海油	13698.1	10.99	1.64	3.46
22	601881	中国银河	1423.7	11.1	1.17	4.8
23	601857	中国石油	17679.8	11.18	1.09	3.53
24	600104	上汽集团	1142.6	11.3	0.38	4.34
25	000568	泸州老窖	1129.7	11.36	2.19	3.02
26	000166	申万宏源	1129.3	11.42	0.99	3.17
27	601766	中国中车	1561.2	11.56	0.89	2.97
28	600585	海螺水泥	900.4	11.59	0.46	3.3
29	601899	紫金矿业	7275.2	11.79	3.69	2.95
30	600019	宝钢股份	1198	11.82	0.58	3.64
31	600346	恒力石化	1055.9	11.82	1.49	3.97
32	600989	宝丰能源	1519.5	12.08	2.92	3.56
33	600809	山西汾酒	1336.6	12.17	2.97	4.18
34	600795	国电电力	832.9	12.34	1.36	4.69
35	600030	中信证券	4167.5	12.37	1.43	4
36	000792	盐湖股份	1301.2	12.62	2.91	3.89
37	002001	新和成	864.6	12.88	2.46	3.9
38	600887	伊利股份	1583.2	13.1	2.66	2.73
39	600999	招商证券	1779.3	13.37	1.43	3.34
40	601991	大唐发电	1106.7	13.76	3.01	4.35
41	000333	美的集团	6121.2	13.85	2.63	3.78
42	601633	长城汽车	1283	14.16	1.45	4.36
43	601225	陕西煤业	2322	14.36	2.27	3.92
44	000425	徐工机械	951	14.43	1.52	3.47
45	600941	中国移动	19825.4	14.6	1.39	3.67
46	601211	国泰海通	3233.1	14.73	0.99	4.26
47	002352	顺丰控股	1682.8	14.75	1.68	4.4
48	600660	福耀玻璃	1331	14.8	3.4	3.67
49	603993	洛阳钼业	3607.1	14.93	4.06	4.02
50	600886	国投电力	1119	15.05	1.62	2.84
51	601995	中金公司	1707.4	15.08	1.66	4.2
52	601872	招商轮船	1197.5	15.14	2.66	4.37
53	600050	中国联通	1313.1	15.17	0.77	4.47
54	600489	中金黄金	953.5	15.19	2.91	4.37
55	600026	中远海能	840.4	15.27	1.74	3.54
56	000895	双汇发展	819	15.57	3.61	3.86
57	600089	特变电工	967.1	15.68	1.34	3.31
58	601127	赛力斯	939.1	15.75	2.27	4.09
59	600309	万华化学	2095.9	15.92	1.88	4.16
60	601006	大秦铁路	923.6	16.17	0.56	4.45
61	002602	世纪华通	1031.9	16.42	3.2	2.69
62	601728	中国电信	5225.1	16.5	1.12	4.03
63	600028	中国石化	5901.2	16.6	0.71	3.85
64	000538	云南白药	887.7	16.89	2.11	3.03
65	601816	京沪高铁	2289.7	17.15	1.09	4.15
66	600362	江西铜业	1385.1	17.32	1.65	2.62
67	603259	药明康德	3587.7	17.82	4.26	2.71
68	601088	中国神华	9250.5	17.94	1.92	3.24
69	000617	中油资本	825.5	17.97	0.78	3.81
70	600519	贵州茅台	15138.4	18.3	5.59	3.12
